condition,support_bin,n_branches,n_correct,mean_support,p_correct,ci_low,ci_high
ils=low|length=200|model=hky,"[0.7,0.9)",21,11,0.7974761904761904,0.5238095238095238,0.32369217900266756,0.7165628770323705
ils=low|length=200|model=hky,"[0.9,0.95)",17,6,0.9280588235294118,0.35294117647058826,0.17309486143904904,0.5870003327878818
ils=low|length=200|model=hky,"[0.95,0.99)",24,16,0.97375,0.6666666666666666,0.4670595949408046,0.8202802131162036
ils=low|length=200|model=hky,"[0.99,1]",55,40,0.9979454545454546,0.7272727272727273,0.5976755051758511,0.8271939749198636
ils=low|length=200|model=hky_g4,"[0,0.5)",82,19,0.35900000000000004,0.23170731707317074,0.15365345107261638,0.33377455586108484
ils=low|length=200|model=hky_g4,"[0.5,0.7)",22,8,0.6065454545454545,0.36363636363636365,0.19732972772607899,0.5704865065628195
ils=low|length=200|model=hky_g4,"[0.7,0.9)",20,13,0.8042,0.65,0.43285051021946463,0.8188104521320554
ils=low|length=200|model=hky_g4,"[0.9,0.95)",2,2,0.9205,1.0,0.34237195288961925,1
ils=low|length=200|model=hky_g4,"[0.95,0.99)",15,12,0.9777333333333333,0.8,0.5481406466534955,0.9295257935638959
ils=low|length=200|model=hky_g4,"[0.99,1]",44,42,0.9978863636363635,0.9545454545454546,0.8486472847469684,0.9874451536330189
ils=low|length=200|model=jc,"[0,0.5)",46,4,0.33821739130434786,0.08695652173913043,0.03433531187670748,0.20324935635224178
ils=low|length=200|model=jc,"[0.5,0.7)",19,3,0.5914736842105263,0.15789473684210525,0.055203710399278266,0.3756592764317668
ils=low|length=200|model=jc,"[0.7,0.9)",26,5,0.8150384615384615,0.19230769230769232,0.08506935771788268,0.3787663615465
ils=low|length=200|model=jc,"[0.9,0.95)",10,3,0.9240999999999999,0.3,0.10778928748621183,0.6032267800204347
ils=low|length=200|model=jc,"[0.95,0.99)",27,15,0.9712592592592593,0.5555555555555556,0.37312719479576884,0.7241440232992717
ils=low|length=200|model=jc,"[0.99,1]",57,45,0.9980350877192982,0.7894736842105263,0.6671363132153347,0.875255734331081
ils=low|length=800|model=gtr,"[0,0.5)",78,13,0.3382820512820513,0.16666666666666666,0.10006850973163443,0.26455779278444536
ils=low|length=800|model=gtr,"[0.5,0.7)",7,5,0.5888571428571429,0.7142857142857143,0.35892909014821267,0.9177828342909844
ils=low|length=800|model=gtr,"[0.7,0.9)",12,3,0.81025,0.25,0.08894003962896138,0.53231033912066
ils=low|length=800|model=gtr,"[0.9,0.95)",11,4,0.9307272727272727,0.36363636363636365,0.15166223614131383,0.6462032231083628
ils=low|length=800|model=gtr,"[0.95,0.99)",12,7,0.97975,0.5833333333333334,0.3195073356553728,0.8067425380947535
ils=low|length=800|model=gtr,"[0.99,1]",127,116,0.9990708661417323,0.9133858267716536,0.8515484151644752,0.9509486499891151
ils=low|length=800|model=gtr_g4,"[0,0.5)",100,21,0.34849,0.21,0.14165549531645788,0.2998014930196232
ils=low|length=800|model=gtr_g4,"[0.5,0.7)",11,7,0.546,0.6363636363636364,0.35379677689163724,0.8483377638586862
ils=low|length=800|model=gtr_g4,"[0.7,0.9)",17,13,0.8170588235294118,0.7647058823529411,0.5273775411082839,0.9044511092832406
ils=low|length=800|model=gtr_g4,"[0.9,0.95)",6,3,0.9238333333333334,0.5,0.18761280689940868,0.8123871931005913
ils=low|length=800|model=gtr_g4,"[0.95,0.99)",17,16,0.9752352941176471,0.9411764705882353,0.730174547964372,0.9895398693548358
ils=low|length=800|model=gtr_g4,"[0.99,1]",96,95,0.9988333333333334,0.9895833333333334,0.9433324450728878,0.9981588771815634
ils=low|length=800|model=hky,"[0,0.5)",78,8,0.3362692307692308,0.10256410256410256,0.05289271527803498,0.18954633772190638
ils=low|length=800|model=hky,"[0.5,0.7)",6,1,0.633,0.16666666666666666,0.03005258587173032,0.563509436563646
ils=low|length=800|model=hky,"[0.7,0.9)",12,4,0.8123333333333332,0.3333333333333333,0.13811783989736134,0.609382412602386
ils=low|length=800|model=hky,"[0.9,0.95)",10,6,0.9262,0.6,0.3126695474501864,0.8318224187964902
ils=low|length=800|model=hky,"[0.95,0.99)",11,4,0.9741818181818181,0.36363636363636365,0.15166223614131383,0.6462032231083628
ils=low|length=800|model=hky,"[0.99,1]",130,118,0.9989461538461538,0.9076923076923077,0.8455738628732411,0.9464071056746542
ils=low|length=800|model=hky_g4,"[0,0.5)",105,24,0.3531047619047619,0.22857142857142856,0.1586828389252159,0.3176203392713559
ils=low|length=800|model=hky_g4,"[0.5,0.7)",7,6,0.5698571428571428,0.8571428571428571,0.48686549668097007,0.9743210440510253
ils=low|length=800|model=hky_g4,"[0.7,0.9)",18,13,0.8141666666666666,0.7222222222222222,0.49126922453805477,0.8750043085364452
ils=low|length=800|model=hky_g4,"[0.9,0.95)",4,3,0.92825,0.75,0.3006360524426366,0.9544139373553637
ils=low|length=800|model=hky_g4,"[0.95,0.99)",16,15,0.9761875,0.9375,0.7167073163197013,0.9888809426916687
ils=low|length=800|model=hky_g4,"[0.99,1]",97,97,0.9989278350515464,1.0,0.9619046107955446,0.9999999999999999
ils=low|length=800|model=jc,"[0,0.5)",78,10,0.3347564102564103,0.1282051282051282,0.0711524611999346,0.22016149160646212
ils=low|length=800|model=jc,"[0.5,0.7)",7,1,0.6105714285714285,0.14285714285714285,0.02567895594897479,0.51313450331903
ils=low|length=800|model=jc,"[0.7,0.9)",11,5,0.779909090909091,0.45454545454545453,0.21270957543988045,0.7199122443100118
ils=low|length=800|model=jc,"[0.9,0.95)",6,2,0.9373333333333332,0.3333333333333333,0.09676933255921683,0.7000116786584712
ils=low|length=800|model=jc,"[0.95,0.99)",17,6,0.977764705882353,0.35294117647058826,0.17309486143904904,0.5870003327878818
ils=low|length=800|model=jc,"[0.99,1]",128,117,0.998875,0.9140625,0.852657726143762,0.9513373710031172
